Date,MMF ,FIXED INCOME FUND,EQUITY FUND,OTHER FUNDS,TOTALS
6/30/2018,45160074243,1655677692,6023092801,3932193885,56771038621
9/30/2018,47750892228,1713415805,5410019717,3643992590,58518320340
12/31/2018,51019498735,1741105685,4695075836,3583084177,61038764433
3/31/2019,53489232334,1873851086,4658258533,3757984917,63779326870
6/30/2019,56520581916,4523893045,1204724256,4080933780,66330132997
9/30/2019,62385693970,1330553917,4082779226,3584118439,71383145552
12/31/2019,66192957196,1312040553,4485212289,4108143053,76098353091
3/31/2020,67358033248,1166477163,3631593877,4083314713,76239419001
6/30/2020,78936185369,1245625430,3630307774,4282987216,88095105789
9/30/2020,88423637184,1325413229,3545314096,4704237098,97998601607
12/31/2020,93858946658,1341023183,3560319358,5954588288,1.04715E+11
3/31/2021,99806604615,1542857825,3548600902,6187226535,1.11085E+11
6/30/2021,98290393147,1690392558,3704431723,14086600538,1.17772E+11
9/30/2021,1.13969E+11,2119804621,3572757749,6516102711,1.26177E+11
12/31/2021,1.21424E+11,3710345355,3454201185,6080268511,1.34668E+11
3/31/2022,1.09545E+11,19287541067,3237957394,8596919675,1.40667E+11
6/30/2022,1.13858E+11,19385956672,3021162386,8722025659,1.44988E+11
9/30/2022,1.21266E+11,21220345186,2982819800,10099804596,1.55569E+11
12/31/2022,1.23802E+11,22723035030,2946375439,11533689848,1.61005E+11
